track_popularity,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
59,rap,hip hop,0.832,0.721,6,-5.678,0,0.103,0.104,2.99e-06,0.0823,0.522,99.89,168071
79,rap,hip hop,0.886,0.336,4,-12.779,1,0.239,0.557,0.0,0.0933,0.536,100.044,230448
48,pop,indie poptimism,0.616,0.575,1,-9.811,1,0.0442,0.022,0.0,0.35,0.234,133.94,192683
34,r&b,urban contemporary,0.907,0.839,1,-3.947,1,0.287,0.085,0.0,0.374,0.665,105.009,181615
54,rap,trap,0.789,0.765,9,-4.143,0,0.118,0.49,0.0,0.623,0.491,95.075,227603
46,latin,latin pop,0.74,0.853,5,-2.832,0,0.0921,0.233,0.0,0.392,0.872,138.96,237880
64,latin,latin hip hop,0.863,0.84,1,-3.7,0,0.0587,0.158,0.0,0.368,0.934,109.977,200973
53,latin,latin hip hop,0.797,0.528,10,-6.562,1,0.0907,0.12,0.0,0.093,0.654,95.007,175773
0,edm,electro house,0.641,0.752,0,-12.283,1,0.0427,0.000834,0.696,0.109,0.419,126.0,156190
52,edm,progressive electro house,0.744,0.988,1,-2.812,0,0.0548,0.0151,0.00094,0.17,0.816,124.943,200006
61,edm,progressive electro house,0.567,0.951,8,-5.087,0,0.0388,0.0213,0.302,0.101,0.267,138.03,202000
54,rap,trap,0.805,0.568,6,-8.731,0,0.293,0.144,0.0,0.096,0.372,140.023,222857
74,latin,latin pop,0.724,0.791,7,-5.411,1,0.169,0.0441,6.55e-06,0.239,0.856,176.011,256418
53,r&b,neo soul,0.713,0.387,8,-15.257,0,0.0356,0.0539,0.442,0.0732,0.539,129.908,241603
39,edm,progressive electro house,0.678,0.915,2,-4.34,1,0.0309,0.0012,0.292,0.0823,0.119,124.962,184368
37,edm,progressive electro house,0.59,0.847,2,-5.116,0,0.0269,0.00732,0.495,0.0672,0.0745,120.012,244918
88,edm,pop edm,0.677,0.744,10,-6.806,0,0.0295,0.0404,0.00016,0.074,0.631,124.08,152913
88,edm,electro house,0.677,0.744,10,-6.806,0,0.0295,0.0404,0.00016,0.074,0.631,124.08,152913
60,pop,post-teen pop,0.881,0.697,0,-5.613,1,0.27,0.129,1.39e-06,0.0834,0.434,97.012,176618
41,rap,trap,0.535,0.794,6,-6.694,0,0.13,0.00261,0.15,0.166,0.48,154.952,174968
21,edm,big room,0.632,0.947,2,-1.924,1,0.18,0.0115,0.0426,0.109,0.0596,127.964,243750
61,pop,dance pop,0.733,0.839,1,-2.84,0,0.0335,0.0145,0.000187,0.162,0.471,126.009,223533
71,r&b,hip pop,0.564,0.613,11,-5.055,1,0.0318,0.111,3.22e-06,0.0825,0.48,84.951,166693
37,edm,progressive electro house,0.552,0.978,6,-4.398,0,0.0519,0.00129,0.102,0.234,0.308,125.993,177271
48,latin,tropical,0.746,0.612,11,-6.809,1,0.304,0.424,0.0,0.0897,0.813,170.119,217828
62,latin,latin hip hop,0.737,0.525,6,-6.677,0,0.25,0.509,0.0,0.0608,0.483,127.97,205053
35,r&b,neo soul,0.566,0.188,1,-16.824,0,0.0666,0.676,0.0691,0.102,0.0376,59.056,224696
9,edm,pop edm,0.733,0.839,1,-2.84,0,0.0335,0.0145,0.000187,0.162,0.471,126.009,223533
31,edm,big room,0.565,0.735,11,-5.778,1,0.0422,0.000657,0.0084,0.165,0.12,127.935,167927
63,edm,progressive electro house,0.623,0.84,9,-5.446,1,0.123,0.0173,0.0,0.363,0.539,123.068,189268
18,pop,dance pop,0.792,0.728,4,-4.391,0,0.0842,0.16,0.0,0.0511,0.565,106.101,168300
79,pop,post-teen pop,0.655,0.797,2,-4.787,1,0.153,0.198,0.0,0.067,0.839,177.928,229360
37,edm,progressive electro house,0.728,0.933,3,-5.094,1,0.0443,0.0665,0.711,0.112,0.6,126.04,156026
79,edm,pop edm,0.655,0.797,2,-4.787,1,0.153,0.198,0.0,0.067,0.839,177.928,229360
8,pop,dance pop,0.663,0.905,1,-3.781,0,0.0511,0.0325,0.0,0.333,0.397,125.996,175000
38,edm,electro house,0.893,0.74,10,-2.948,0,0.114,0.00179,3.99e-05,0.0734,0.644,127.978,162899
67,rap,southern hip hop,0.498,0.628,7,-5.709,0,0.0317,0.00686,0.0,0.362,0.218,138.099,183853
60,edm,pop edm,0.521,0.918,6,-3.414,0,0.0867,0.203,0.0,0.579,0.683,185.995,161152
52,edm,pop edm,0.699,0.609,1,-8.201,0,0.0479,0.0126,2.92e-06,0.0332,0.545,96.028,190000
56,pop,indie poptimism,0.797,0.93,11,-3.37,0,0.0455,0.0636,0.000123,0.951,0.907,123.985,159587
71,rock,hard rock,0.564,0.613,11,-5.055,1,0.0318,0.111,3.22e-06,0.0825,0.48,84.951,166693
39,edm,electro house,0.808,0.925,6,-2.855,1,0.183,0.00264,0.217,0.134,0.234,126.099,170516
35,r&b,hip pop,0.805,0.62,0,-5.631,0,0.295,0.0862,0.00045,0.701,0.653,74.097,251920
41,edm,progressive electro house,0.535,0.794,6,-6.694,0,0.13,0.00261,0.15,0.166,0.48,154.952,174968
35,latin,tropical,0.622,0.474,3,-10.243,1,0.291,0.131,1.74e-06,0.164,0.543,165.864,164819
39,edm,electro house,0.678,0.915,2,-4.34,1,0.0309,0.0012,0.292,0.0823,0.119,124.962,184368
37,edm,electro house,0.552,0.978,6,-4.398,0,0.0519,0.00129,0.102,0.234,0.308,125.993,177271
65,pop,indie poptimism,0.609,0.726,1,-3.947,0,0.108,0.00252,0.0,0.0745,0.616,79.967,198640
49,pop,indie poptimism,0.229,0.915,10,-4.939,0,0.0762,0.0103,0.471,0.104,0.305,177.989,222760
79,latin,reggaeton,0.655,0.797,2,-4.787,1,0.153,0.198,0.0,0.067,0.839,177.928,229360
68,latin,reggaeton,0.783,0.738,11,-4.078,1,0.0741,0.127,0.0,0.127,0.925,90.976,164533
75,latin,reggaeton,0.733,0.897,0,-3.652,1,0.0389,0.0391,0.0,0.117,0.649,96.006,173800
38,edm,progressive electro house,0.545,0.702,6,-6.269,0,0.0473,0.0399,0.0,0.118,0.329,95.989,211250
9,pop,dance pop,0.733,0.839,1,-2.84,0,0.0335,0.0145,0.000187,0.162,0.471,126.009,223533
60,pop,indie poptimism,0.688,0.738,5,-4.831,1,0.0404,0.0085,3.54e-05,0.258,0.251,111.013,255397
64,pop,indie poptimism,0.714,0.663,8,-5.799,1,0.0694,0.145,0.0,0.264,0.64,95.497,206073
51,latin,tropical,0.703,0.414,4,-13.372,1,0.0561,0.475,0.765,0.103,0.137,170.998,214140
49,pop,dance pop,0.686,0.613,2,-5.614,1,0.069,0.0386,0.0,0.251,0.452,104.988,206875
9,edm,big room,0.492,0.993,5,-1.105,1,0.185,0.0266,0.00112,0.249,0.559,126.524,145512
50,pop,indie poptimism,0.542,0.758,9,-5.032,1,0.0313,0.000184,5.63e-06,0.144,0.43,156.128,178480
30,edm,big room,0.591,0.896,1,-5.737,1,0.111,0.00241,0.84,0.418,0.0903,129.973,160312
43,edm,progressive electro house,0.625,0.839,11,-4.374,1,0.0379,0.122,0.0,0.193,0.459,142.058,195000
54,latin,latin pop,0.752,0.87,0,-4.492,1,0.104,0.323,0.0,0.709,0.895,99.995,206874
62,latin,latin pop,0.737,0.525,6,-6.677,0,0.25,0.509,0.0,0.0608,0.483,127.97,205053
79,latin,latin pop,0.655,0.797,2,-4.787,1,0.153,0.198,0.0,0.067,0.839,177.928,229360
68,latin,latin pop,0.783,0.738,11,-4.078,1,0.0741,0.127,0.0,0.127,0.925,90.976,164533
75,latin,latin pop,0.733,0.897,0,-3.652,1,0.0389,0.0391,0.0,0.117,0.649,96.006,173800
61,edm,big room,0.567,0.951,8,-5.087,0,0.0388,0.0213,0.302,0.101,0.267,138.03,202000
64,latin,latin pop,0.863,0.84,1,-3.7,0,0.0587,0.158,0.0,0.368,0.934,109.977,200973
9,latin,tropical,0.733,0.839,1,-2.84,0,0.0335,0.0145,0.000187,0.162,0.471,126.009,223533
66,latin,reggaeton,0.774,0.625,6,-4.703,1,0.222,0.351,8.18e-06,0.0721,0.446,174.117,221067
88,r&b,hip pop,0.677,0.744,10,-6.806,0,0.0295,0.0404,0.00016,0.074,0.631,124.08,152913
39,edm,big room,0.678,0.915,2,-4.34,1,0.0309,0.0012,0.292,0.0823,0.119,124.962,184368
3,edm,big room,0.4,0.798,2,-5.385,1,0.061,0.0171,0.691,0.0551,0.2,125.943,163705
30,edm,electro house,0.806,0.826,11,-5.413,0,0.0943,0.000176,0.332,0.0815,0.435,126.024,260952
88,latin,latin hip hop,0.677,0.744,10,-6.806,0,0.0295,0.0404,0.00016,0.074,0.631,124.08,152913
62,rap,hip hop,0.74,0.133,8,-16.642,0,0.0633,0.828,0.957,0.131,0.113,73.982,94865
30,pop,post-teen pop,0.677,0.744,10,-6.806,0,0.0295,0.0404,0.00016,0.074,0.631,124.08,152913
88,latin,latin pop,0.677,0.744,10,-6.806,0,0.0295,0.0404,0.00016,0.074,0.631,124.08,152913
38,edm,big room,0.893,0.74,10,-2.948,0,0.114,0.00179,3.99e-05,0.0734,0.644,127.978,162899
66,pop,dance pop,0.673,0.687,6,-5.295,0,0.0623,0.269,0.0,0.181,0.524,96.964,211040
33,rap,trap,0.55,0.523,5,-10.814,0,0.0428,0.000378,0.824,0.118,0.0891,145.054,139043
66,r&b,urban contemporary,0.585,0.625,5,-5.94,1,0.109,0.0146,1.8e-06,0.131,0.28,68.68,185863
47,latin,tropical,0.692,0.724,7,-6.669,0,0.0294,0.0277,0.000861,0.0852,0.534,125.974,196516
60,pop,indie poptimism,0.53,0.444,0,-9.779,0,0.0338,0.669,0.0,0.142,0.165,122.917,233105
6,latin,latin pop,0.645,0.362,0,-8.229,0,0.0316,0.777,2.46e-06,0.118,0.281,137.794,198968
23,latin,latin hip hop,0.837,0.791,4,-3.157,0,0.0773,0.252,1.14e-06,0.188,0.618,91.98,184436
46,edm,electro house,0.869,0.745,0,-4.092,1,0.0387,0.0944,0.125,0.0684,0.842,124.009,214908
54,edm,electro house,0.552,0.93,7,-3.467,1,0.0355,0.000579,0.81,0.107,0.625,114.981,279677
69,r&b,urban contemporary,0.66,0.193,11,-8.904,1,0.0725,0.953,0.0,0.0953,0.296,82.035,225868
23,latin,reggaeton,0.837,0.791,4,-3.157,0,0.0773,0.252,1.14e-06,0.188,0.618,91.98,184436
66,edm,progressive electro house,0.33,0.793,10,-4.628,0,0.155,0.0618,0.0,0.383,0.279,180.162,184000
34,edm,big room,0.664,0.896,5,-4.782,0,0.0564,0.0177,0.00137,0.0681,0.523,127.958,156741
49,edm,big room,0.489,0.796,3,-7.567,1,0.234,0.0122,9.45e-06,0.148,0.63,88.923,162809
63,pop,dance pop,0.571,0.752,3,-4.872,1,0.0293,0.0196,6.92e-05,0.114,0.25,102.043,192941
46,edm,electro house,0.725,0.817,8,-5.356,1,0.102,0.00729,0.0337,0.135,0.652,128.014,198750
25,edm,electro house,0.639,0.911,7,-4.257,1,0.216,0.041,0.0103,0.707,0.366,114.971,146087
65,r&b,neo soul,0.827,0.553,1,-5.296,1,0.032,0.0227,1.52e-05,0.176,0.0631,110.015,236120
34,rap,southern hip hop,0.61,0.831,3,-6.746,1,0.13,0.747,0.0,0.205,0.277,95.952,243433
34,edm,progressive electro house,0.603,0.785,0,-6.41,0,0.0315,0.000101,0.0339,0.371,0.178,122.015,290656
19,pop,dance pop,0.675,0.674,4,-6.329,1,0.0372,0.00339,8.55e-05,0.279,0.414,125.037,200640
58,rap,hip hop,0.639,0.359,8,-8.64,1,0.0662,0.0839,0.769,0.116,0.149,91.094,159560
43,latin,tropical,0.675,0.843,4,-6.207,1,0.0424,0.0675,0.0,0.115,0.514,120.04,208523
2,edm,pop edm,0.639,0.9,6,-4.803,0,0.0627,0.00872,0.00936,0.108,0.737,126.012,167624
32,r&b,hip pop,0.747,0.354,9,-11.141,1,0.105,0.0142,0.000102,0.102,0.236,81.099,204905
23,latin,latin pop,0.837,0.791,4,-3.157,0,0.0773,0.252,1.14e-06,0.188,0.618,91.98,184436
69,pop,indie poptimism,0.66,0.193,11,-8.904,1,0.0725,0.953,0.0,0.0953,0.296,82.035,225868
81,rap,trap,0.649,0.453,6,-7.28,1,0.085,0.627,0.0,0.116,0.431,99.183,181891
66,r&b,neo soul,0.823,0.558,9,-7.119,1,0.0278,0.397,2.03e-05,0.0821,0.674,155.974,175707
42,rap,hip hop,0.913,0.763,6,-5.219,0,0.222,0.142,0.0,0.115,0.313,140.029,168000
25,rock,classic rock,0.516,0.72,6,-4.738,0,0.0356,0.000242,3.32e-06,0.12,0.366,100.584,219400
47,latin,tropical,0.657,0.873,0,-4.923,0,0.036,0.00942,4.95e-05,0.545,0.44,105.043,166373
62,latin,latin hip hop,0.824,0.666,3,-5.734,0,0.286,0.179,0.000204,0.1,0.88,180.004,184401
44,edm,electro house,0.742,0.858,8,-4.515,1,0.0555,0.01,2.32e-05,0.0729,0.732,104.995,208238
30,rock,hard rock,0.722,0.793,11,-5.429,1,0.0375,0.018,1.77e-05,0.117,0.763,120.006,186251
0,edm,big room,0.441,0.705,11,-4.881,0,0.0638,0.107,0.000893,0.103,0.225,127.822,262515
59,r&b,urban contemporary,0.793,0.399,7,-7.428,1,0.0951,0.12,0.0,0.124,0.0379,121.949,226600
65,pop,indie poptimism,0.394,0.505,7,-7.638,1,0.0473,0.312,0.0,0.268,0.255,109.446,186681
66,edm,big room,0.33,0.793,10,-4.628,0,0.155,0.0618,0.0,0.383,0.279,180.162,184000
32,edm,electro house,0.939,0.829,9,-5.911,1,0.25,0.105,0.159,0.216,0.799,127.055,175500
79,rap,gangster rap,0.852,0.73,1,-5.803,1,0.0579,0.0219,0.0,0.336,0.394,92.506,157693
61,latin,latin pop,0.707,0.88,6,-4.268,0,0.0764,0.0613,0.0,0.0656,0.379,93.032,213187
71,pop,indie poptimism,0.776,0.568,0,-6.419,0,0.125,0.0204,1.69e-05,0.078,0.749,150.901,194526
23,rap,trap,0.837,0.791,4,-3.157,0,0.0773,0.252,1.14e-06,0.188,0.618,91.98,184436
32,latin,tropical,0.746,0.657,9,-7.9,0,0.0464,0.12,0.00541,0.122,0.718,125.959,204000
66,pop,indie poptimism,0.554,0.786,9,-4.288,1,0.0491,0.0024,0.0,0.148,0.358,120.057,224064
63,pop,indie poptimism,0.571,0.752,3,-4.872,1,0.0293,0.0196,6.92e-05,0.114,0.25,102.043,192941
53,rock,classic rock,0.552,0.858,0,-3.942,1,0.0386,0.000735,7.55e-06,0.178,0.69,126.961,206027
19,pop,post-teen pop,0.675,0.674,4,-6.329,1,0.0372,0.00339,8.55e-05,0.279,0.414,125.037,200640
87,rap,hip hop,0.876,0.662,2,-6.482,0,0.426,0.0608,0.0,0.127,0.844,75.445,163320
24,pop,indie poptimism,0.668,0.653,0,-6.361,1,0.0972,0.0123,0.00323,0.269,0.49,119.926,219735
41,edm,electro house,0.845,0.881,1,-3.709,1,0.231,0.0236,0.00507,0.0645,0.415,128.164,175256
63,latin,latin pop,0.445,0.44,2,-6.506,1,0.0403,0.898,0.0,0.111,0.215,82.261,214528
51,rock,hard rock,0.532,0.935,2,-5.102,1,0.129,0.0001,0.0,0.0989,0.325,131.997,253446
15,pop,electropop,0.76,0.432,7,-7.625,1,0.0748,0.00306,0.808,0.0981,0.565,123.01,366313
39,pop,dance pop,0.602,0.72,4,-4.548,0,0.127,0.373,0.0,0.163,0.197,145.009,155586
43,rap,trap,0.455,0.659,0,-8.906,1,0.453,0.0702,0.39,0.123,0.0511,151.332,183900
33,rap,gangster rap,0.853,0.785,7,-5.671,1,0.146,0.0622,0.0,0.0872,0.828,80.009,181500
58,latin,reggaeton,0.814,0.647,8,-5.651,0,0.0443,0.0583,0.0,0.0854,0.604,93.977,206924
57,rap,hip hop,0.755,0.429,4,-15.75,0,0.204,0.603,0.352,0.0944,0.131,71.977,140000
27,edm,big room,0.618,0.968,7,-3.694,1,0.0536,0.000605,0.828,0.306,0.57,127.99,167764
43,latin,tropical,0.66,0.419,3,-9.859,1,0.0457,0.197,0.0,0.117,0.208,110.021,213542
45,latin,latin hip hop,0.806,0.521,5,-5.438,0,0.288,0.0135,0.0406,0.0628,0.475,188.114,198032
35,latin,latin hip hop,0.568,0.725,1,-7.395,1,0.159,0.311,9.2e-06,0.113,0.715,95.599,167260
54,latin,tropical,0.722,0.777,7,-5.438,1,0.0386,0.0318,0.0,0.0756,0.397,117.015,150000
81,pop,electropop,0.649,0.453,6,-7.28,1,0.085,0.627,0.0,0.116,0.431,99.183,181891
66,r&b,hip pop,0.823,0.558,9,-7.119,1,0.0278,0.397,2.03e-05,0.0821,0.674,155.974,175707
56,pop,dance pop,0.636,0.806,8,-4.751,1,0.0547,0.15,0.0,0.0844,0.205,128.024,198750
47,latin,latin pop,0.628,0.72,11,-5.326,0,0.074,0.126,0.0,0.0855,0.484,133.919,220733
65,pop,indie poptimism,0.63,0.561,0,-4.906,1,0.0369,0.0977,0.00023,0.058,0.492,90.932,192571
64,r&b,hip pop,0.765,0.701,11,-4.089,0,0.058,0.0579,0.0,0.334,0.758,103.998,191639
50,r&b,hip pop,0.493,0.414,6,-9.372,0,0.0258,0.0319,0.00134,0.0878,0.426,133.65,230007
54,pop,indie poptimism,0.585,0.619,8,-6.643,1,0.0286,0.0824,2.57e-06,0.0996,0.337,100.045,199222
57,pop,indie poptimism,0.621,0.762,5,-6.376,1,0.0328,0.106,2.71e-06,0.302,0.395,95.014,218936
25,rock,hard rock,0.516,0.72,6,-4.738,0,0.0356,0.000242,3.32e-06,0.12,0.366,100.584,219400
87,rap,gangster rap,0.876,0.662,2,-6.482,0,0.426,0.0608,0.0,0.127,0.844,75.445,163320
60,rap,trap,0.95,0.303,7,-15.73,1,0.355,0.306,0.0,0.115,0.421,120.015,164000
34,edm,big room,0.708,0.923,2,-5.694,1,0.0646,0.00365,0.581,0.0806,0.422,130.009,147697
37,edm,electro house,0.902,0.965,2,-3.23,1,0.145,0.00762,0.153,0.357,0.479,128.017,183750
67,pop,dance pop,0.715,0.88,7,-2.94,1,0.0685,0.00373,0.0,0.104,0.669,115.012,200913
72,pop,electropop,0.892,0.507,0,-8.282,1,0.378,0.704,3.14e-05,0.109,0.695,143.96,158587
37,edm,big room,0.902,0.965,2,-3.23,1,0.145,0.00762,0.153,0.357,0.479,128.017,183750
35,rap,trap,0.525,0.871,7,-3.05,0,0.0756,0.102,0.00042,0.295,0.161,145.183,268552
36,edm,electro house,0.74,0.641,5,-4.199,0,0.0336,0.0117,0.405,0.358,0.601,128.026,277510
13,r&b,neo soul,0.66,0.586,7,-9.485,0,0.0833,0.197,0.922,0.116,0.195,74.996,172825
47,rap,hip hop,0.863,0.646,11,-7.232,0,0.218,0.335,0.0,0.0866,0.863,150.012,205896
29,edm,big room,0.189,0.723,9,-6.92,0,0.0347,0.000538,0.00371,0.147,0.667,180.493,251101
70,latin,latin pop,0.853,0.766,1,-3.527,0,0.0401,0.0247,3.4e-06,0.272,0.835,96.01,197013
6,rap,trap,0.477,0.808,6,-4.517,0,0.0561,0.00765,3.41e-05,0.179,0.262,145.07,234099
18,pop,dance pop,0.627,0.732,6,-9.279,0,0.0306,0.00225,0.0105,0.0863,0.744,122.006,193783
30,edm,big room,0.552,0.961,1,-4.328,1,0.0868,0.000469,0.383,0.379,0.265,127.92,144844
70,latin,reggaeton,0.853,0.766,1,-3.527,0,0.0401,0.0247,3.4e-06,0.272,0.835,96.01,197013
18,latin,latin hip hop,0.723,0.698,11,-7.545,1,0.153,0.0244,1.03e-06,0.148,0.361,155.043,167226
65,rap,trap,0.905,0.616,6,-7.842,0,0.0657,0.0534,0.000185,0.13,0.414,134.077,206429
37,latin,tropical,0.583,0.467,4,-10.291,1,0.04,0.629,0.00591,0.302,0.439,160.069,164000
44,pop,indie poptimism,0.478,0.509,8,-9.967,1,0.0347,0.304,0.00318,0.0753,0.0875,89.851,253792
33,pop,indie poptimism,0.682,0.79,0,-4.058,1,0.0313,0.0533,3.87e-06,0.251,0.222,123.049,176675
61,r&b,hip pop,0.71,0.336,2,-11.001,1,0.0462,0.542,0.0204,0.114,0.34,80.002,274995
67,pop,dance pop,0.764,0.836,1,-2.868,1,0.0396,0.208,0.0,0.234,0.51,111.934,214293
38,edm,electro house,0.788,0.806,0,-6.074,1,0.116,0.00511,0.92,0.309,0.374,122.966,166853
31,edm,electro house,0.754,0.974,0,-4.642,1,0.168,0.209,1.05e-05,0.331,0.402,122.998,168049
35,rap,trap,0.677,0.625,10,-7.783,0,0.0742,0.00766,0.000244,0.0995,0.33,102.966,153981
31,edm,electro house,0.802,0.634,0,-5.992,0,0.116,0.362,2.74e-05,0.0802,0.884,124.014,183145
52,latin,tropical,0.593,0.639,4,-6.176,1,0.0433,0.397,6.55e-06,0.336,0.223,107.91,216667
59,rap,hip hop,0.516,0.248,6,-13.078,1,0.0446,0.773,0.807,0.0987,0.133,89.915,195097
9,edm,big room,0.691,0.972,5,-2.414,0,0.151,0.00186,0.44,0.975,0.34,128.008,146265
60,latin,latin hip hop,0.693,0.644,5,-4.633,0,0.418,0.139,4.24e-06,0.13,0.848,124.114,149032
59,rap,hip hop,0.88,0.569,2,-5.497,1,0.274,0.141,0.0,0.673,0.141,137.024,215345
11,edm,progressive electro house,0.672,0.824,9,-5.849,1,0.031,0.147,0.000253,0.369,0.412,125.982,194286
34,latin,tropical,0.767,0.599,3,-4.774,0,0.0415,0.106,0.0,0.308,0.746,111.018,186932
33,rap,southern hip hop,0.688,0.884,10,-5.497,0,0.137,0.12,3.23e-06,0.0824,0.6,77.277,87120
41,rap,southern hip hop,0.865,0.617,11,-7.639,0,0.0817,0.112,1.21e-06,0.0959,0.788,139.926,156000
45,rap,hip hop,0.73,0.803,5,-6.432,0,0.304,0.486,0.00769,0.178,0.907,78.106,211619
28,edm,electro house,0.606,0.462,2,-11.064,1,0.0305,0.0267,0.902,0.116,0.0604,119.994,327000
55,r&b,hip pop,0.563,0.692,2,-3.294,0,0.0981,0.357,0.0,0.126,0.476,123.065,260244
22,r&b,hip pop,0.433,0.652,6,-9.492,0,0.409,0.18,2.42e-06,0.0875,0.886,179.324,252265
59,rap,trap,0.832,0.551,10,-5.514,0,0.395,0.39,2.63e-06,0.0933,0.632,159.975,168200
78,latin,latin pop,0.648,0.752,7,-4.13,1,0.133,0.315,0.0,0.201,0.405,178.228,198053
17,rap,gangster rap,0.731,0.518,3,-8.423,0,0.304,0.549,0.0,0.149,0.503,130.081,167750
60,pop,post-teen pop,0.562,0.879,0,-4.733,0,0.0905,0.00119,1.81e-05,0.167,0.602,107.026,197652
43,rap,trap,0.883,0.506,5,-7.089,0,0.0497,0.0355,0.000756,0.0963,0.277,120.018,163400
36,rap,hip hop,0.897,0.46,7,-11.375,0,0.247,0.332,0.0,0.0992,0.734,89.981,193255
78,latin,reggaeton,0.648,0.752,7,-4.13,1,0.133,0.315,0.0,0.201,0.405,178.228,198053
66,edm,big room,0.648,0.741,7,-6.655,1,0.313,0.00351,0.0,0.0932,0.238,106.001,246322
67,edm,big room,0.735,0.5,8,-11.297,1,0.0511,0.415,3.12e-05,0.13,0.119,126.1,139048
91,edm,pop edm,0.654,0.672,0,-5.98,0,0.311,0.471,0.0,0.0781,0.343,181.857,249520
38,rock,hard rock,0.42,0.961,4,-4.299,1,0.0904,5.76e-05,0.0236,0.287,0.477,165.056,230000
69,edm,big room,0.57,0.873,5,-5.188,0,0.07,0.00853,0.0,0.365,0.236,125.086,171133
17,r&b,neo soul,0.839,0.289,0,-10.973,0,0.0835,0.413,3.09e-05,0.121,0.516,106.983,174868
36,edm,big room,0.781,0.493,11,-4.554,0,0.0841,0.163,0.0,0.0973,0.766,82.014,171123
63,rap,trap,0.922,0.448,0,-9.197,0,0.309,0.231,0.0,0.246,0.233,130.017,142053
76,edm,big room,0.722,0.812,9,-3.352,0,0.0924,0.0205,2.51e-05,0.131,0.657,124.909,213041
